id,cliente,fecha,guias_remision,tipos_envase,cantidades,estado
674,Hialpesa,2022-07-01,"0003-000215,0003-00216","bidon 150 kg, ibc","2,5",cancelado
674,Hialpesa,2024-12-10,"0003-000215,0003-00216","bidon 150 kg, ibc","2,5",pendiente
674,Hialpesa,2024-12-16,"0003-000215,0003-00216","bidon 150 kg, ibc","2,5",pendiente
674,Hialpesa,2024-12-02,"0003-000215,0003-00216","bidon 150 kg, ibc","2,5",cancelado
674,Hialpesa,2024-12-01,"0003-000215,0003-00216","bidon 150 kg, ibc","2,5",pendiente
681,Hialpesa,2024-12-11,0003-000375,Bidon plastico 120 kgs,2,pendiente
700,Hialpesa,2023-01-07,0003-000380,Bidon plastico 120 kgs,2,pendiente
688,Hialpesa,2025-01-01,0003-000370,"Bidon plastico 120 kgs,Bidon plastico 150 kgs","0,0",pendiente
688,Hialpesa,2024-12-30,0003-000370,"Bidon plastico 120 kgs,Bidon plastico 150 kgs","0,0",pendiente
688,Hialpesa,2024-12-31,0003-000370,"Bidon plastico 120 kgs,Bidon plastico 150 kgs","5,4",pendiente
688,Hialpesa,2024-12-31,0003-000370,"Bidon plastico 120 kgs,IBC","2,3",pendiente
